"filename", "language", "C++", "CMake", "JSON5", "JSON", "Python", "Markdown", "hetu", "YAML", "Dart", "XML", "comment", "blank", "total"
"e:\_dev\heavenly-tribulation\assets\locale\zh\minigame\mouse_maze.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\_dev\heavenly-tribulation\assets\locale\zh\minigame\tile_matching.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"e:\_dev\heavenly-tribulation\assets\locale\zh\rpg\battle.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"e:\_dev\heavenly-tribulation\assets\locale\zh\rpg\battlecard.json", "JSON", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 33, 193
"e:\_dev\heavenly-tribulation\assets\locale\zh\rpg\character.json", "JSON", 0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 57, 339
"e:\_dev\heavenly-tribulation\assets\locale\zh\rpg\deckbuilding.json", "JSON", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 18, 82
"e:\_dev\heavenly-tribulation\assets\locale\zh\rpg\dungeon.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 15, 83
"e:\_dev\heavenly-tribulation\assets\locale\zh\rpg\item.json", "JSON", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 33, 144
"e:\_dev\heavenly-tribulation\assets\locale\zh\rpg\passive.json", "JSON", 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 0, 36, 257
"e:\_dev\heavenly-tribulation\assets\locale\zh\rpg\passive_tree.json", "JSON", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 8, 69
"e:\_dev\heavenly-tribulation\assets\locale\zh\rpg\status_effect.json", "JSON", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 17, 203
"e:\_dev\heavenly-tribulation\assets\locale\zh\rpg\workbench.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 18
"e:\_dev\heavenly-tribulation\assets\locale\zh\story.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\_dev\heavenly-tribulation\assets\locale\zh\tips.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"e:\_dev\heavenly-tribulation\assets\locale\zh\tycoon\craft.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\_dev\heavenly-tribulation\assets\locale\zh\tycoon\location.json", "JSON", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 12, 56
"e:\_dev\heavenly-tribulation\assets\locale\zh\tycoon\mateial.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 11, 47
"e:\_dev\heavenly-tribulation\assets\locale\zh\tycoon\sect.json", "JSON", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 38, 167
"e:\_dev\heavenly-tribulation\assets\locale\zh\tycoon\title.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\_dev\heavenly-tribulation\assets\locale\zh\ui\mainmenu.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 32
"e:\_dev\heavenly-tribulation\assets\locale\zh\wiki.json", "JSON", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"e:\_dev\heavenly-tribulation\assets\locale\zh\world_map.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"e:\_dev\heavenly-tribulation\assets\mods\main.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15184, 0, 37, 15221
"e:\_dev\heavenly-tribulation\assets\mods\story.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 550, 0, 0, 550
"e:\_dev\heavenly-tribulation\build.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"e:\_dev\heavenly-tribulation\devtools_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"e:\_dev\heavenly-tribulation\docs\docs\how2play\mini_game\tile_matching\readme.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 11, 34
"e:\_dev\heavenly-tribulation\docs\docs\how2play\readme.md", "Markdown", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 28, 60
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\battle\battle_card\readme.md", "Markdown", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 53, 131
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\battle\battle_resource\readme.md", "Markdown", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 33, 86
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\battle\readme.md", "Markdown", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 69, 232
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\character\personality\readme.md", "Markdown", 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 79, 253
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\character\readme.md", "Markdown", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 27, 96
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\character\relationship\readme.md", "Markdown", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 25, 84
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\craft\readme.md", "Markdown", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 16
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\cultivation\level\readme.md", "Markdown", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 17, 47
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\cultivation\passive_skill\readme.md", "Markdown", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 25, 50
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\cultivation\readme.md", "Markdown", 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 92, 259
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\cultivation\tribulation\readme.md", "Markdown", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 9, 25
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\dungeon\readme.md", "Markdown", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 72, 193
"e:\_dev\heavenly-tribulation\docs\docs\how2play\rpg\encounter\readme.md", "Markdown", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 14
